firstName,lastName,schoolName,imageUrl,playerUrl
Arron,Finott,Kentucky State University,https://ksuthorobreds.com/images/2025/8/12/2025_Headshots_Arron_Finott.jpg?width=146,https://ksuthorobreds.com/sports/football/roster/arron-finott/5735
Adriana,Milanez,Northwest University,https://nueagles.com/images/2025/11/4/251027WomensBasketballMediaDay-6354_VriDd.jpg?width=300,https://nueagles.com/sports/womens-basketball/roster/adriana-milanez/2650
LeShaun,Bennett II,Madonna University,https://mucrusaders.com/images/2025/8/12/LBennett.png?width=300,https://mucrusaders.com/sports/football/roster/leshaun-bennett-ii/9401
Jason,Campbell,Guilford College,https://guilfordquakers.com/images/2025/1/24/MLAX25_Campbell_Jason.png?width=300,https://guilfordquakers.com/sports/mens-lacrosse/roster/jason-campbell/17318
Zack,Peters,Cleary University,https://clearycougars.com/sports/mwrest/2025-26/bios/IMG_2582_headshot.jpg?max_width=510&max_height=600,https://clearycougars.com/sports/mwrest/2025-26/bios/peters_zack_c1cz
Brandon,Alston,University of Maryland Eastern Shore,https://umeshawksports.com/images/2025/12/10/BrandonAlston_4304.jpg?width=300,https://umeshawksports.com/sports/mens-indoor-track/roster/brandon-alston/6395
Brayden,Lane,Tiffin University,https://gotiffindragons.com/images/2025/9/4/Brayden_Lane.JPG?width=300,https://gotiffindragons.com/sports/football/roster/brayden-lane/11906
Keith,Frazier,Capital University,https://athletics.capital.edu/images/2025/8/25/CroppedWeb_FB_2025_Frazier_Keith_hs_2025.jpg?width=300,https://athletics.capital.edu/sports/football/roster/keith-frazier/7823
Daniel,Powell,Kennesaw State University,https://ksuowls.com/images/2024/11/22/KSU_BASEBALL_HS-56.jpg?width=300,https://ksuowls.com/sports/baseball/roster/daniel-powell/13630
Reagan,Jones,Fisk University,https://fiskathletics.com/general/2025-26/photos/Reagan_ad_hoc.jpg?max_width=510&max_height=600,https://fiskathletics.com/sports/wvball/2025-26/bios/jones_reagan_28k4
Michael,Brescia III,Nichols College,https://nicholsathletics.com/images/2025/8/20/52_BresciaIII.png?width=300,https://nicholsathletics.com/sports/football/roster/michael-brescia-iii/12075
Jadon,Lewis,Concordia University Wisconsin,https://cuwfalcons.com/images/2025/8/25/Lewis__Jadon.JPG?width=300,https://cuwfalcons.com/sports/football/roster/jadon-lewis/13578
Khanyla,Hooten,Trinity Valley Community College,https://tvccsports.com/sports/wbkb/2025-26/photos/30_Khanyla_Hooten.jpg?max_width=600&max_height=800,https://tvccsports.com/sports/wbkb/2025-26/bios/hooten_khanyla_uon9
Malachi,Butler,Northeastern State University,https://goriverhawksgo.com/images/2025/8/12/Headshot_Crops_49-Malachi_Butler.jpg?width=146,https://goriverhawksgo.com/sports/football/roster/malachi-butler/6907
